#Source_Name,ASSOC_GAM,ASSOC_TEV,CLASS,ASSOC1,ASSOC2,Flags
4FGL J0152.6+0147,3FHL J0152.6+0147,RGB J0152+017,bll,PMN J0152+0146,,0
4FGL J0153.0+7517,3FHL J0152.8+7517,,bll,1RXS J015308.4+751756,,0
4FGL J0153.3+5416,,,,,,0
4FGL J0153.4+7114,3FHL J0153.5+7115,,rdg,TXS 0149+710,,0
4FGL J0153.9+0823,3FHL J0154.0+0823,,bll,GB6 J0154+0823,,0
4FGL J0154.3-0236,,,bcu,TXS 0151-028,,0
4FGL J0154.6+0051,,,,,,0
4FGL J0155.0+4433,3FGL J0154.9+4433,,bll,GB6 J0154+4433,,0
4FGL J0156.3-2420,3FHL J0156.2-2419,,,,,0
4FGL J0156.5+3914,3FGL J0156.3+3913,,bcu,MG4 J015630+3913,,0
4FGL J0156.8-4744,3FHL J0156.9-4744,,bll,2MASS J01564603-4744174,,0
4FGL J0156.9-5301,3FHL J0156.7-5302,,bll,1RXS J015658.6-530208,,0
4FGL J0156.9+4648,,,bcu,MG4 J015651+4648,,0
4FGL J0157.7-4614,3FGL J0157.9-4615,,fsrq,PMN J0157-4614,,0
4FGL J0158.4+1230,,,,,,262
4FGL J0158.5-3932,3FHL J0158.7-3930,,bll,PMN J0158-3932,,0
4FGL J0158.8+0101,3FGL J0158.6+0102,,fsrq,GB6 J0158+0101,,0
4FGL J0159.0+3313,3FHL J0158.8+3314,,,,,0
4FGL J0159.3-4523,,,bcu,PMN J0159-4515,,0
4FGL J0159.5+1046,3FHL J0159.5+1047,,bll,RX J0159.5+1047,,0
4FGL J0159.7-2740,3FHL J0159.8-2740,,bll,PMN J0159-2739,,0
